15.12.2015 16:07:08.946 - System.Windows.Forms.resources, Version=4.0.0.0, Culture=ru-RU, PublicKeyToken=b77a5c561934e089
16.12.2015 9:03:54.356 - mCheat.resources, Version=1.0.0.0, Culture=ru-RU, PublicKeyToken=null
16.12.2015 9:03:54.357 - mCheat.resources, Version=1.0.0.0, Culture=ru, PublicKeyToken=null
16.12.2015 9:03:54.357 - mCheat.resources, Version=1.0.0.0, Culture=ru, PublicKeyToken=null
16.12.2015 9:03:59.762 - mscorlib.resources, Version=4.0.0.0, Culture=ru-RU, PublicKeyToken=b77a5c561934e089
16.12.2015 9:03:59.762 - mscorlib.resources, Version=4.0.0.0, Culture=ru-RU, PublicKeyToken=b77a5c561934e089
16.12.2015 9:03:59.912 - DevExpress.XtraGrid.v14.1.resources, Version=14.1.0.0, Culture=ru-RU, PublicKeyToken=b88d1754d700e49a
16.12.2015 9:03:59.912 - DevExpress.XtraGrid.v14.1.resources, Version=14.1.0.0, Culture=ru-RU, PublicKeyToken=b88d1754d700e49a
16.12.2015 9:04:00.42 - DevExpress.XtraTreeList.v14.1.resources, Version=14.1.0.0, Culture=ru-RU, PublicKeyToken=b88d1754d700e49a
16.12.2015 9:04:00.42 - DevExpress.XtraTreeList.v14.1.resources, Version=14.1.0.0, Culture=ru-RU, PublicKeyToken=b88d1754d700e49a
16.12.2015 9:04:00.382 - mCheat.resources, Version=1.0.0.0, Culture=ru-RU, PublicKeyToken=null
16.12.2015 9:04:00.382 - mCheat.resources, Version=1.0.0.0, Culture=ru-RU, PublicKeyToken=null
16.12.2015 9:04:00.382 - mCheat.resources, Version=1.0.0.0, Culture=ru, PublicKeyToken=null
16.12.2015 9:04:00.392 - mCheat.resources, Version=1.0.0.0, Culture=ru, PublicKeyToken=null
16.12.2015 9:04:00.892 - DevExpress.XtraEditors.v14.1.resources, Version=14.1.0.0, Culture=ru-RU, PublicKeyToken=b88d1754d700e49a
16.12.2015 9:04:00.892 - DevExpress.XtraEditors.v14.1.resources, Version=14.1.0.0, Culture=ru-RU, PublicKeyToken=b88d1754d700e49a
16.12.2015 9:27:47.830 - System.Transactions.resources, Version=4.0.0.0, Culture=ru-RU, PublicKeyToken=b77a5c561934e089
16.12.2015 9:27:47.830 - System.Transactions.resources, Version=4.0.0.0, Culture=ru-RU, PublicKeyToken=b77a5c561934e089
16.12.2015 9:30:08.445 - System.Data.resources, Version=4.0.0.0, Culture=ru-RU, PublicKeyToken=b77a5c561934e089
16.12.2015 9:30:08.455 - System.Data.resources, Version=4.0.0.0, Culture=ru-RU, PublicKeyToken=b77a5c561934e089
16.12.2015 9:30:08.905 - mCheat.resources, Version=1.0.0.0, Culture=ru-RU, PublicKeyToken=null
16.12.2015 9:30:08.905 - mCheat.resources, Version=1.0.0.0, Culture=ru-RU, PublicKeyToken=null
16.12.2015 9:30:08.905 - mCheat.resources, Version=1.0.0.0, Culture=ru, PublicKeyToken=null
16.12.2015 9:30:08.905 - mCheat.resources, Version=1.0.0.0, Culture=ru, PublicKeyToken=null
16.12.2015 9:30:20.986 - mscorlib.resources, Version=4.0.0.0, Culture=ru-RU, PublicKeyToken=b77a5c561934e089
16.12.2015 9:30:20.986 - mscorlib.resources, Version=4.0.0.0, Culture=ru-RU, PublicKeyToken=b77a5c561934e089
16.12.2015 9:30:21.166 - DevExpress.XtraGrid.v14.1.resources, Version=14.1.0.0, Culture=ru-RU, PublicKeyToken=b88d1754d700e49a
16.12.2015 9:30:21.166 - DevExpress.XtraGrid.v14.1.resources, Version=14.1.0.0, Culture=ru-RU, PublicKeyToken=b88d1754d700e49a
16.12.2015 9:30:21.286 - DevExpress.XtraTreeList.v14.1.resources, Version=14.1.0.0, Culture=ru-RU, PublicKeyToken=b88d1754d700e49a
16.12.2015 9:30:21.296 - DevExpress.XtraTreeList.v14.1.resources, Version=14.1.0.0, Culture=ru-RU, PublicKeyToken=b88d1754d700e49a
16.12.2015 9:30:21.616 - mCheat.resources, Version=1.0.0.0, Culture=ru-RU, PublicKeyToken=null
16.12.2015 9:30:21.616 - mCheat.resources, Version=1.0.0.0, Culture=ru-RU, PublicKeyToken=null
16.12.2015 9:30:21.616 - mCheat.resources, Version=1.0.0.0, Culture=ru, PublicKeyToken=null
16.12.2015 9:30:21.616 - mCheat.resources, Version=1.0.0.0, Culture=ru, PublicKeyToken=null
16.12.2015 9:30:22.116 - DevExpress.XtraEditors.v14.1.resources, Version=14.1.0.0, Culture=ru-RU, PublicKeyToken=b88d1754d700e49a
16.12.2015 9:30:22.116 - DevExpress.XtraEditors.v14.1.resources, Version=14.1.0.0, Culture=ru-RU, PublicKeyToken=b88d1754d700e49a
22.06.2016 11:27:25.929 - System.Data.SqlServerCe.resources, Version=4.0.0.0, Culture=ru-RU, PublicKeyToken=89845dcd8080cc91
22.06.2016 11:27:25.945 - loading sql
22.06.2016 11:27:25.946 - .\sql-x64\System.Data.SqlServerCe.resources.dll
22.06.2016 11:27:26.7 - System.Data.SqlServerCe.resources, Version=4.0.0.0, Culture=ru-RU, PublicKeyToken=89845dcd8080cc91
22.06.2016 11:27:26.8 - loading sql
22.06.2016 11:27:26.8 - .\sql-x64\System.Data.SqlServerCe.resources.dll
22.06.2016 11:31:04.704 - mCheat.resources, Version=1.0.0.0, Culture=ru-RU, PublicKeyToken=null
22.06.2016 11:31:04.716 - mCheat.resources, Version=1.0.0.0, Culture=ru-RU, PublicKeyToken=null
22.06.2016 11:31:04.717 - mCheat.resources, Version=1.0.0.0, Culture=ru, PublicKeyToken=null
22.06.2016 11:31:04.718 - mCheat.resources, Version=1.0.0.0, Culture=ru, PublicKeyToken=null
22.06.2016 11:31:09.443 - mCheat.resources, Version=1.0.0.0, Culture=ru-RU, PublicKeyToken=null
22.06.2016 11:31:09.444 - mCheat.resources, Version=1.0.0.0, Culture=ru-RU, PublicKeyToken=null
22.06.2016 11:31:09.444 - mCheat.resources, Version=1.0.0.0, Culture=ru, PublicKeyToken=null
22.06.2016 11:31:09.445 - mCheat.resources, Version=1.0.0.0, Culture=ru, PublicKeyToken=null
22.06.2016 11:31:09.618 - mCheat.resources, Version=1.0.0.0, Culture=ru-RU, PublicKeyToken=null
22.06.2016 11:31:09.618 - mCheat.resources, Version=1.0.0.0, Culture=ru-RU, PublicKeyToken=null
22.06.2016 11:31:09.619 - mCheat.resources, Version=1.0.0.0, Culture=ru, PublicKeyToken=null
22.06.2016 11:31:09.620 - mCheat.resources, Version=1.0.0.0, Culture=ru, PublicKeyToken=null
